# 
# Coordonnées des stations du Réseau GNSS Permanent.
# Elles sont exprimées dans le système de référence légal français, c'est-à-dire :
#  - le RGF93, pour les stations situées en Métropole
#  - le RGAF09, pour les stations situées dans les Antilles
#  - le RGFG95, pour les stations situées en Guyane
#  - le RGR92, pour les stations situées à la Réunion
#  - le RGM04, pour les stations situées à Mayotte
#  - le RGSPM06, pour les stations situées à Saint Pierre et Miquelon
# 
# Après les 3 premières lignes d'en-tête, le format du fichier est le suivant :
#  - SITE      : [ %4s] L'acronyme de la station
#  - X,Y,Z     : [ %12.3f]x3 Les coordonnées cartésiennes exprimées en mètres
#  - lat       : [ %14.9f] La latitude exprimée en "deg.minsec" comptée positivement vers le nord
#  - lon       : [ %14.9f] La longitude exprimée en "deg.minsec" comptée positivement vers l'est
#  - he        : [ %9.3f] La hauteur sur l'ellipsoïde exprimée en mètres
#  - ha        : [ %7.4f] La hauteur d'antenne exprimée en mètres et mesurée depuis le repère jusqu'au plan de réferénce de l'antenne (ARP). La définition de l'ARP dépend du modèle d'antenne. Il est très souvent defini comme etant le BPA (Bottom of Pre-Amplifier)
#  - systeme
#    de ref.   : [ %9s] système de référence dans lequel sont exprimées les coordonnées
#  - statut de
#    stabilité : [     %1s] Le statut de stabilité annuel est un critère de stabilité à long terme (pour de plus amples informations http://rgp.ign.fr/STATIONS/statut_stab.php)
# 
# Ces informations sont valides à la date du 09/05/2019.
# 

 SITE       X            Y            Z            lat            lon          he      ha      systeme    statut de
           (m)          (m)          (m)       (deg.minsec)   (deg.minsec)     (m)     (m)     de ref.    stabilité
 CHBR  4298046.334  -104125.907  4695682.229   47.425324700   -1.231606287   113.192  0.0720     RGF93     B
 CHBS  4335570.781   125377.510  4660837.714   47.150205618    1.392317390   162.366  0.0720     RGF93     B
 CHE2  4215066.554   212263.810  4766322.209   48.400186526    2.525838880   167.795  0.0000     RGF93     B
 CHIZ  4427603.472   -31506.297  4575621.575   46.080045589   -0.242773093   113.202  1.0640     RGF93     A
 CHLD  4118198.910   343198.104  4842305.160   49.424366850    4.454984931   208.275  0.0000     RGF93     B
 CHLN  4119217.139   201579.004  4849271.588   49.483508603    2.480577848   146.265  0.0720     RGF93     B
 CHPH  4236233.463   110997.835  4751117.137   48.273674389    1.300331637   204.090  0.0000     RGF93     A
 CHPO  4135792.507   308402.399  4829620.180   49.321275641    4.155257046   132.344  0.0000     RGF93     N
 CHRM  4219643.141   464453.713  4744696.153   48.221862500    6.165242410   339.265  0.0000     RGF93     B
 CHRX  4428108.058    31869.481  4575283.559   46.074102769    0.244448022   220.997  0.0000     RGF93     B
 CHTA  4381526.287   -79859.645  4618887.997   46.415294739   -1.023905779   111.603  0.0000     RGF93     N
 CHTG  4135853.968  -118088.137  4837806.026   49.390445565   -1.380773470    54.929  2.0809     RGF93     B
 CHTL  4466578.348   497735.591  4511789.422   45.181488280    6.213079107   850.309  0.0000     RGF93     B
 CILA  3374218.678  4904208.398 -2285663.371  -21.080196274   55.281578230  1210.215  0.0000     RGR92     N
 CLFD  4451154.354   241928.563  4547090.611   45.453945581    3.063985802   473.600  0.0000     RGF93     B
 CLFE  4449809.503   245114.486  4548170.344   45.463097223    3.091047437   431.958  0.0720     RGF93     N
 CLMT  4449830.377   244539.408  4548125.760   45.463021460    3.084384486   392.510  0.0000     RGF93     B
 CNNE  4594487.354   561355.471  4373591.286   43.340915865    6.575718795    79.698  0.0000     RGF93     B
 COAU  4130433.848   253914.199  4837313.649   49.383707813    3.310398157   127.491  0.0000     RGF93     B
 COCR  4388683.683    76360.793  4612265.472   46.363867531    0.594853728   164.793  0.0000     RGF93     B
 CONN  4205286.579   288000.890  4770938.621   48.434868453    3.550411232   157.028  0.0000     RGF93     B
 CORT  4664928.473   751615.791  4270552.093   42.175592348    9.091031606   499.359  0.0000     RGF93     A
 CORZ  4658309.024   -19495.992  4342517.569   43.105647114   -0.142325607   324.036  0.0000     RGF93     B
 COUD  4016631.673   166528.780  4935194.783   51.012260235    2.222680453    56.795  0.0720     RGF93     B
 COUT  4514412.363    -9266.371  4490630.764   45.022777245   -0.070338258    81.784  0.0720     RGF93     B
 COVI  4280577.400   -68188.034  4712187.259   47.560842553   -0.544544512   134.446  0.0000     RGF93     B
 CRAL  4662596.777    29881.889  4338374.568   43.074229749    0.220190236   658.321  0.0000     RGF93     B
 CRAU  4636432.378   493526.161  4337622.640   43.072600761    6.043354174    95.119  0.0000     RGF93     N
 CRHX  4244618.300  -264424.550  4737631.354   48.163989012   -3.335297646   195.076  0.0720     RGF93     N
 CRTS  4521846.490   397048.018  4465940.461   44.433363694    5.010508151   246.691  0.0000     RGF93     N
 CSTN  4630329.278   121261.138  4370351.738   43.314023274    1.300052078   212.919  0.0000     RGF93     B
 CT10  4206878.132   133251.937  4776327.018   48.481335264    1.485120859   156.334  0.0000     RGF93     A
 CT11  4210330.671   111617.650  4773952.246   48.461398257    1.310688693   229.144  0.0000     RGF93     B
 CT13  4226590.500   123170.351  4759390.222   48.341975771    1.400922194   239.706  0.0000     RGF93     B
 CT14  4239050.003   113188.992  4748590.432   48.253287210    1.314627129   219.541  0.0000     RGF93     B
 CT15  4237438.966    91196.596  4750545.102   48.270670690    1.135846977   261.944  0.0000     RGF93     B
 CT16  4245141.301    55959.535  4744180.915   48.215828005    0.451882921   208.495  0.0000     RGF93     B
 CT17  4258425.668    86039.827  4731957.560   48.120183535    1.092693287   257.403  0.0000     RGF93     B
 CT18  4266993.713   140203.916  4722916.425   48.044534585    1.525496497   198.061  0.0000     RGF93     B
 CT19  4269211.080   117669.340  4721535.318   48.033847287    1.344369656   196.898  0.0000     RGF93     B
 CT1A  4258091.416   143864.299  4730812.981   48.110754174    1.560623336   221.688  0.0000     RGF93     B
 CT1B  4253935.392    71313.704  4736322.415   48.153093927    0.573753479   340.820  0.0000     RGF93     B
 CT1C  4230394.702    82987.210  4756963.544   48.321923835    1.072575620   289.724  0.0000     RGF93     B
 CT20  4183572.165    98659.949  4797523.150   49.053600062    1.210338067   213.163  0.0000     RGF93     B
 CT21  4158759.685   116063.346  4818522.286   49.225694969    1.355497817   215.704  0.0000     RGF93     B
 CT22  4166280.020    98254.252  4812479.396   49.175616395    1.210348451   231.272  0.0000     RGF93     B
 CT23  4179865.598   134122.875  4799902.387   49.073293615    1.501632275   232.250  0.0000     RGF93     B
 CT24  4199270.728   127327.220  4783219.028   48.534997820    1.441229520   221.718  0.0000     RGF93     B
 CT25  4187809.055    65472.844  4794418.355   49.030247269    0.534451267   216.278  0.0000     RGF93     B
 CT26  4178659.269   112091.112  4801500.532   49.085217964    1.321165666   227.570  0.0000     RGF93     B
 CT27  4192443.703   110572.533  4789615.683   48.590414238    1.303881747   250.699  0.0000     RGF93     B
 CT29  4155955.463    94010.051  4821438.284   49.252095579    1.174503040   243.121  0.0000     RGF93     B
 CT30  4197105.335    46158.998  4786630.733   48.563628354    0.374837122   269.172  0.0000     RGF93     B
 CT31  4205132.616    67547.602  4779333.353   48.503814480    0.551297397   238.051  0.0000     RGF93     B
 CT32  4160364.975    52466.281  4818224.864   49.224289728    0.432106354   196.232  0.0000     RGF93     B
 CT33  4173179.744    37460.932  4807399.493   49.134392381    0.305150528   238.470  0.0000     RGF93     A
 CT34  4178794.157    57658.986  4802327.006   49.093343984    0.472586042   218.046  0.0000     RGF93     B
 CT35  4172245.750    64276.589  4807914.996   49.140970135    0.525741338   232.501  0.0000     RGF93     A
 CT36  4181179.789   155940.358  4798048.770   49.060300960    2.080924280   185.747  0.0000     RGF93     B
 CT37  4187884.081    33140.380  4794720.122   49.031634669    0.271222077   243.911  0.0000     RGF93     B
 CT38  4185633.069    89318.823  4795907.430   49.041647841    1.132089557   204.356  0.0000     RGF93     B
 CT39  4189477.640    47269.325  4793206.125   49.020195352    0.384715992   233.896  0.0000     RGF93     B
 CT3C  4139927.011    46761.437  4835765.514   49.371628796    0.384970981   217.460  0.0000     RGF93     B
 CT3D  4144601.740    92293.201  4831167.961   49.332580080    1.163240591   242.149  0.0000     RGF93     B
 CT3E  4137893.857    72741.657  4837191.091   49.382705746    1.002563637   229.752  0.0000     RGF93     B
 CT3F  4138210.199    15730.050  4837381.622   49.383827957    0.130404429   185.148  0.0000     RGF93     B
 CT3G  4128148.432    50793.627  4845672.685   49.453324418    0.421779852   183.759  0.0000     RGF93     B
 CT3H  4156912.256   136652.709  4819685.354   49.235145987    1.525822765   303.807  0.0000     RGF93     B
 CT3I  4163714.651    25559.271  4815571.328   49.203088180    0.210615590   199.958  0.0000     RGF93     B
 CT3K  4133015.044    99201.870  4840968.275   49.413296045    1.222987950   307.988  0.0000     RGF93     B
 CT3L  4127897.337   115544.781  4844941.801   49.445194191    1.361209132   306.364  0.0000     RGF93     B
 CT3M  4119401.633   137138.586  4851496.334   49.502244091    1.542420587   257.367  0.0000     RGF93     B
 CT3N  4135211.535   131955.425  4838278.998   49.391987020    1.493971843   270.959  0.0000     RGF93     B
 CT3O  4168604.635   123286.994  4809802.496   49.154631270    1.413852929   152.227  0.0000     RGF93     B
 CT40  4217502.327    57293.528  4768686.904   48.415358613    0.464187435   282.481  0.0000     RGF93     B
 CT41  4225692.726    94641.509  4760867.916   48.353103208    1.165887571   267.926  0.0000     RGF93     B
 CT42  4199288.035    92753.869  4784010.368   48.542848776    1.155523608   234.109  0.0000     RGF93     A
 CT43  4216952.539    75641.122  4768880.626   48.420406227    1.013945553   256.032  0.0000     RGF93     B
 CT44  4206775.859    77817.519  4777737.603   48.491978007    1.033507967   235.095  0.0000     RGF93     B
 CT50  4175790.409   203595.963  4800965.276   49.082644128    2.472874501   207.598  0.0000     RGF93     B
 CT51  4223183.888   222183.285  4758783.243   48.335123124    3.004167332   207.870  0.0000     RGF93     B
 CT52  4183990.147   185132.045  4794555.404   49.031117090    2.320079909   164.566  0.0000     RGF93     B
 CT53  4217168.329   207943.782  4764693.116   48.384123603    2.492245252   189.374  0.0000     RGF93     B
 CT54  4213337.127   192345.208  4768687.774   48.415764659    2.364976695   173.439  0.0000     RGF93     B
 CT55  4190293.843   201223.830  4788453.889   48.580963921    2.445752398   175.611  0.0000     RGF93     A
 CT56  4198360.080   237542.230  4779877.283   48.510436441    3.141798491   252.545  0.0000     RGF93     B
 CT57  4231643.313   189486.471  4752648.572   48.285332838    2.335005459   154.660  0.0000     RGF93     B
 CT58  4174071.123   222004.253  4801618.459   49.085936851    3.024017712   191.425  0.0000     RGF93     B
 CT59  4164829.837   198999.125  4810532.667   49.162248709    2.440801871   153.460  0.0000     RGF93     B
 CT5B  4195019.959   218423.406  4783652.985   48.541136487    2.584996435   221.246  0.0000     RGF93     B
 CT5E  4201272.668   202439.436  4778874.976   48.501687452    2.453124288   203.622  0.0000     RGF93     B
 CT5F  4184236.309   220061.715  4792912.382   49.014900105    3.003810810   192.314  0.0000     RGF93     B
 CT5G  4170975.196   189087.443  4805637.261   49.121982245    2.354443315   152.491  0.0000     RGF93     B
 CT5H  4208047.385   228666.955  4771795.155   48.442841516    3.063749799   219.653  0.0000     RGF93     B
 CT5I  4227041.865   203644.849  4756117.494   48.314325042    2.452947651   143.031  0.0000     RGF93     B
 CT60  4249578.819    92522.126  4739709.752   48.181929832    1.145010235   242.496  0.0000     RGF93     A
 CT70  4245933.699   141029.048  4741736.359   48.195879718    1.540858523   219.520  0.0000     RGF93     B
 CT71  4226010.373   164189.937  4758552.293   48.334205266    2.132981954   150.096  0.0000     RGF93     B
 CT72  4234116.784   136766.360  4752362.299   48.283648592    1.510025130   232.932  0.0000     RGF93     B
 CT73  4243665.381   172255.039  4742701.116   48.204653209    2.192792130   198.968  0.0000     RGF93     B
 CT74  4236103.955   148310.438  4750234.478   48.265327259    2.001859850   214.673  0.0000     RGF93     B
 CT80  4269586.144   105713.751  4721498.448   48.033617538    1.250601530   211.092  0.0000     RGF93     B
 CT81  4245569.024    72545.189  4743689.952   48.213129952    0.584415971   292.483  0.0000     RGF93     B
 CT83  4258684.445   103349.837  4731329.362   48.113274834    1.232465601   218.085  0.0000     RGF93     B
 CT84  4271039.251    88643.313  4720557.888   48.025019103    1.112030981   222.986  0.0000     RGF93     N
 CT91  4213184.264   252737.938  4766078.033   48.394813224    3.255847814   215.746  0.0000     RGF93     B
 CTA1  4112943.284    94627.793  4857868.755   49.554472680    1.190476286   200.192  0.0000     RGF93     B
 CTB1  4283372.422   204721.152  4705809.588   47.505843430    2.441080345   191.401  0.0000     RGF93     B
 CTB2  4271503.174   189833.799  4717121.796   48.000527974    2.324077593   183.475  0.0000     RGF93     B
 CTB4  4295706.290   197740.721  4694991.461   47.421550006    2.380812062   239.869  0.0000     RGF93     B
 CTB5  4269796.661   237701.565  4716569.150   47.593673884    3.111101710   233.607  0.0000     RGF93     B
 CTB6  4261775.017   233137.846  4724020.088   48.053690629    3.075235702   251.547  0.0000     RGF93     B
 CTB7  4272085.419   220436.245  4715361.493   47.583783636    2.571367103   247.151  0.0000     RGF93     B
 CTB9  4260952.252   212706.904  4725626.894   48.065716653    2.512820681   186.200  0.0000     RGF93     B
 CTBA  4293433.003   225378.411  4695866.830   47.425638284    3.001768467   274.635  0.0000     RGF93     B
 CTBB  4286477.725   224494.307  4702179.867   47.480138381    2.595277915   247.770  0.0000     RGF93     B
 CTBC  4281132.971   216680.223  4707347.139   47.521142356    2.535074343   225.087  0.0000     RGF93     B
 CTBD  4282395.533   233253.578  4705454.730   47.503916977    3.070374363   251.377  0.0000     RGF93     B
 CTX1  4182784.069   171168.839  4796159.077   49.042917756    2.203610820   197.266  0.0000     RGF93     B
 CTX2  4242856.832   222377.713  4741318.740   48.194000731    3.000092157   177.017  0.0000     RGF93     B
 CTX3  4136503.504    87779.933  4838110.761   49.391342384    1.125644831   219.400  0.0000     RGF93     B
 CTX4  4177357.186    76344.694  4803295.150   49.102178103    1.024924212   206.991  0.0000     RGF93     B
 CTX5  4218953.669   146061.331  4765461.744   48.391737572    1.585809315   230.776  0.0000     RGF93     N
 CTX6  4148938.977    27710.786  4828172.461   49.305909636    0.225762328   171.058  0.0000     RGF93     B
 CTXA  4189881.249   138170.156  4790984.312   49.001578251    1.531955218   140.070  0.0000     RGF93     B
 CTY1  4218365.715   164910.250  4765338.151   48.391214000    2.141948809   208.465  0.0000     RGF93     B
 CTZ1  4251507.346   119942.608  4737392.146   48.162622517    1.365755513   250.966  0.0000     RGF93     B
 CTZ2  4137490.954    26306.563  4837965.274   49.390692658    0.215143368   199.030  0.0000     RGF93     B
 CTZ3  4123014.810    75594.237  4849689.465   49.485466059    1.030137953   182.408  0.0000     RGF93     B
 CUBX  4527704.756   -44759.680  4477073.186   44.520789819   -0.335901237    59.027  0.0000     RGF93     A
 CULA  4390769.927   179993.037  4607657.689   46.325592483    2.205078517   330.130  0.0000     RGF93     B
 DAGO  4190971.262   395604.859  4776065.528   48.475283763    5.233275253   363.589  0.0000     RGF93     N
 DBMH  4199728.284   468410.346  4761746.697   48.361371872    6.215074541   276.890  0.0000     RGF93     N
 DGLG  4019247.319   164573.885  4933144.218   50.593714418    2.204109495    56.771  0.0050     RGF93     B
 DHUI  4239689.431   161137.448  4746627.619   48.235767652    2.103571415   204.842  0.0000     RGF93     B
 DIPL  4224046.583  -153115.624  4760605.210   48.352374717   -2.043353093   116.111  0.0720     RGF93     B
 DIPP  4113192.929    77861.362  4857765.065   49.554509022    1.050405730    55.248  0.0000     RGF93     B
 DJON  4312158.210   380677.951  4668868.235   47.211958010    5.024200345   331.220  0.0720     RGF93     B
 DOCO  4158440.429   432266.407  4800999.519   49.082481188    5.560432447   296.417  0.0000     RGF93     B
 DOCX  4379591.368   406340.016  4603840.293   46.295819565    5.180269003   273.304  0.0000     RGF93     N
 DOJX  4228630.677   381897.726  4743993.325   48.214624646    5.093786714   287.932  0.0000     RGF93     B
 DOLB  4227892.546  -128004.433  4757893.850   48.331262902   -1.440300319    74.218  0.0000     RGF93     B
 DOMP  4223004.510   -40990.701  4763997.344   48.380420561   -0.332205173   269.456  0.0000     RGF93     B
 DOUL  4090657.658   168022.056  4874445.322   50.094357106    2.210748108   111.801  0.0000     RGF93     B
 DROU  4362148.919   369820.020  4623261.656   46.451511203    4.504527371   241.054  0.0000     RGF93     N
 DRUL  4167610.268   521281.782  4784414.088   48.544263344    7.074616420   388.692  0.0000     RGF93     N
 DRUS  4171554.942   582609.797  4773688.763   48.460269079    7.570231834   184.496  0.0000     RGF93     B
 DUNQ  4014478.634   165918.785  4936947.666   51.025303215    2.220009506    51.103  2.1841     RGF93     B
 EGLT  4483373.866   160636.302  4519408.743   45.241206075    2.030717075   667.022  0.0000     RGF93     B
 ENTZ  4192710.726   562398.964  4757685.775   48.325768595    7.382363563   204.260  0.0000     RGF93     A
 EOST  4188985.678   571026.017  4759935.842   48.344742310    7.454496313   213.297  0.0000     RGF93     B
